Rent/Lease;;;
Main Category;Type;Model;Class
Vehicles;Motor Vehicles;Cars;Sedan
;;;Hatchback
;;;MPV
;;;SUV
;;;Crossover
;;;Coupe
;;;Convertible
;;;Single Cab
;;;Double Cab
;;;King Cab
;;;
Main Category;Type;Model;Class
Vehicles;Motor Vehicles;Trucks;Speciality Trucks
;;;Heavy Load Truck
;;Buses;Double Decker Bus
;;;Single Deck Bus
;;;Low Floor Bus
;;;Coach
;;;Minibus
;;;Open Top Bus
;;;School Bus
;;;Midi Bus
;;;School Bus
;;;Mini Bus
;;;Articulated Bus
;;;
Main Category;Type;Model;Class
Vehicles;Water Craft;Ship;Cargo Ship
;;;RoRo (Roll on Roll off)
;;;Tankers
;;;Passenger Ship
;;;Fishing Vessel
;;;High Speed Craft
;;Boat;Fishing Boat
;;;Dinghy Boat
;;;Deck Boat
;;;Bowrider Boat
;;;House Boat
;;;Centre Console Boat
;;;Cuddy Cabins Boat
;;;Cataraman Boat
;;;Trawler Boat
;;;Cabin Cruiser Boat
;;;
Main Category;Type;Class ;
Vehicles;Emergency Vehicles;Ambulance;
;;Fire Trucks;
;;Tow Truck Wrecker;
Vehicles;Motor Cycles ;Adventure Touring Bike;
;;Choppers;
;;Cruisers;
;;Enduro Bike;
;;Off Road Motorcycle;
;;Racing Motorcycle;
;;Electric Motorcycle;
;;Motocross Bike;
;;3 Wheel Motor Cycle;
;;4 Wheel Motor Cycle;
Vehicles;Scooters;Electric Scooter;
;;Uber Scuuter;
;;Moped;
;;Kick Scooter;
;;Handicapped Scooters;
Vehicles;Trailers;Car Trailer;
;;Boat Watercraft Trailer;
;;Commercial Truck Trailer;
;;Motorcycle Trailer;
;;Truck Trailer;
;;;
;;;
Main Category;Type;Class ;
Vehicles;Bicycle;Young Children Bicycle;
;;Kids Bicycle;
;;Mountain Bicycle;
;;Hybrid/Comfort Bicycle;
;;Folding Bicyle;
;;Adult Tricycle;
;;Beach Bicycle;
;;Recumbent Bicycle;
;;Tandem Bicycle;
;;Fixed Gear Bicycle;
;;Cyclocross Bicycle;
;;BMX Bicycle;
;;Time Trial Bicycle;
;;Road Bicycle;
Vehicles;Air Craft;Jumbo Passenger Jet;
;;Mid Size Passenger Jet;
;;Light Passenger Jet;
;;Passenger Turboprops;
;;Cargo Airplanes;
;;Very Light Jets;
;;Light Business Jets;
;;Midsize Business Jets;
;;Heavy Business Jets;
;;Private Single Engine;
;;Twin Turboprops;
;;Aerobatic;
;;Amphibious;
