Buy/Sell;;;;
Main Category;Type;Model;Class;Make (search engine)
Vehicles;Motor Vehicles;Cars;Sedan;AC Cars
;;;Hatchback;Acura
;;;MPV;Alfa Romeo
;;;SUV;Alpine
;;;Crossover;Alvis
;;;Coupe;AMC 
;;;Convertible;Anadol
;;;Single Cab;ARO
;;;Double Cab;Artega
;;;King Cab;Asia Motors
;;;;Aston Martin
;;;;Audi
;;;;Autobianchi
;;;;Auto-Union
;;;;Bentley
;;;;Bitter
;;;;BMW
;;;;Bond
;;;;Borgward 
;;;;Bristol
;;;;British Leyland
;;;;Austin-Healey
;;;;Austin / Rover
;;;;Bugatti
;;;;Buick
;;;;Cadillac
;;;;Caterham
;;;;Checker
;;;;Chevrolet
;;;;Chevrolet Korea
;;;;Chevrolet India
;;;;Chrysler
;;;;Citroën
;;;;Cizeta-Moroder
;;;;Dacia
;;;;Daewoo 
;;;;DAF
;;;;Daihatsu
;;;;Datsun
;;;;Delahaye
;;;;DeLorean
;;;;DeSoto
;;;;De Tomaso
;;;;Dodge
;;;;Edsel
;;;;Eicher Polaris
;;;;Facel Vega
;;;;Ferrari
;;;;Fiat
;;;;Fiat do Brasil
;;;;Fiat India
;;;;Fisker
;;;;Ford America
;;;;Ford Australia
;;;;Ford do Brasil
;;;;Ford Europe
;;;;Ford India
;;;;FSO
;;;;GAZ
;;;;Geo
;;;;Glas
;;;;GMC
;;;;GTA Spano
;;;;Gumpert
;;;;Hillman
;;;;Hindustan
;;;;Holden
;;;;Honda
;;;;Honda India
;;;;Hudson
;;;;Hummer
;;;;Hyundai
;;;;IFA 
;;;;Infiniti
;;;;Innocenti
;;;;Isdera
;;;;ISO
;;;;Isuzu
;;;;Iveco
;;;;Jaguar
;;;;Jeep
;;;;Jensen
;;;;Kia
;;;;Koenigsegg
;;;;Lada
;;;;Lamborghini
;;;;Lancia
;;;;Land Rover
;;;;Lexus
;;;;Lincoln
;;;;Lotus
;;;;LTI
;;;;LuAZ
;;;;Lynx
;;;;Mahindra
;;;;Maruti
;;;;Maserati
;;;;Matra
;;;;Mazda
;;;;McLaren
